Date,Close,High,Low,Open,Volume
2020-11-20,1784.343994140625,1814.2047762226587,1667.1070916640647,1676.9136039679709,11310647
2020-11-23,2048.62939453125,2141.2027701144584,1804.3981703798954,1808.3207750981128,3893237
2020-11-24,2008.864013671875,2132.7203099939748,1922.2724635150335,2069.1740633867007,1961368
2020-11-25,2013.2769775390625,2179.007035602434,1996.703947791045,2036.8126070865235,2771893
2020-11-26,2065.93798828125,2114.185983013969,2029.9481344570888,2034.2629042901751,1211725
2020-11-27,2072.115966796875,2109.380712058721,2051.5222917837496,2083.8837810900895,780377
2020-12-01,2148.65576171875,2177.04556478153,2069.1739376977607,2078.9804492508306,990336
2020-12-02,2142.477783203125,2170.083019669916,2099.672452611309,2162.3359706890446,649329
2020-12-03,2159.7861328125,2195.6780629262953,2131.935734167828,2155.4713632478774,399313
2020-12-04,2136.299560546875,2177.04566582438,2127.0324545824687,2169.200456217806,409649
2020-12-07,2307.2763671875,2391.6614572657463,2122.1293586255324,2136.8391277472438,967392
2020-12-08,2260.891357421875,2350.473940935499,2247.652566129229,2322.182057850792,317512
2020-12-09,2235.39453125,2304.4813641416163,2230.981600611428,2275.1109069971485,192250
2020-12-10,2206.514404296875,2234.3648041734227,2162.3360173737456,2233.9235589920145,255923
2020-12-11,2198.22802734375,2230.5895199124693,2184.7440721067833,2214.3106127323863,177900
2020-12-14,2181.360595703125,2229.0203433334705,2178.0264771419434,2201.5621076918787,167368
2020-12-15,2154.6376953125,2186.8521831038656,2135.858320538215,2184.8908806974946,246370
2020-12-16,2153.706298828125,2208.6227706502923,2147.6263087597486,2156.4521703025966,411542
2020-12-17,2136.15283203125,2161.3064427849217,2074.567880854267,2156.452266602946,1643980
2020-12-18,2183.419921875,2211.368481395969,2122.1292211711207,2137.819640551314,885005
2020-12-21,2274.86572265625,2392.7890347154867,2110.5084784393975,2201.5129617414464,1464484
2020-12-22,2283.201171875,2348.659639918662,2196.6587028884355,2295.900557117714,435493
2020-12-23,2307.521484375,2350.424976798242,2284.9174250549354,2304.5304501627033,512028
2020-12-24,2361.75146484375,2382.0018167990966,2293.743206872411,2314.336882521971,575779
2020-12-28,2347.335693359375,2460.012662013357,2333.949899993778,2391.8083218843803,448777
2020-12-29,2303.157470703125,2378.079125530439,2289.8205188097213,2362.388706557867,400122
2020-12-30,2305.510986328125,2317.9652087664867,2251.575169974213,2310.2181600023714,243725
2020-12-31,2294.478759765625,2357.4856025116196,2280.9948050923576,2310.4143425613047,362391
2021-01-01,2323.84912109375,2341.7950860941633,2299.528923237553,2299.528923237553,92306
2021-01-04,2400.340087890625,2440.252547065317,2329.0467877857673,2343.805637419099,629065
2021-01-05,2420.786865234375,2434.3687423739375,2376.0690692504295,2396.7118274314344,335971
2021-01-06,2361.849365234375,2438.8304854277535,2353.7099122859827,2432.0150073831646,238280
2021-01-07,2354.641845703125,2399.653642952968,2343.805601352811,2382.9334910187886,137885
2021-01-08,2322.2802734375,2370.626187541137,2304.628551298201,2362.3397325313267,194282
2021-01-11,2283.642578125,2338.853292837182,2265.3535275976324,2338.8042123900277,200693
2021-01-12,2204.84716796875,2293.350936628538,2196.658634880048,2284.9663211879365,267814
2021-01-13,2158.413330078125,2230.98152018525,2132.916398418865,2206.4652397436535,342069
2021-01-14,2216.22265625,2235.8847609124364,2162.58108289568,2166.2585249366543,156659
2021-01-15,2320.416748046875,2355.4750273362442,2216.6149654653473,2219.213595296305,503248
2021-01-18,2290.35986328125,2347.678875666355,2275.110689868815,2343.75627102865,150380
2021-01-19,2245.78955078125,2319.240234535327,2207.8381554099496,2297.9110695876975,123343
2021-01-20,2230.540283203125,2273.835938855088,2213.32980638663,2250.5945527945573,186031
2021-01-21,2161.943603515625,2260.1066391841014,2154.490559069382,2243.680732554874,197792
2021-01-22,2240.2978515625,2279.0335771640403,2142.6248882030286,2177.0458439346685,613805
2021-01-25,2207.44580078125,2250.594452595721,2149.1952165984303,2250.594452595721,342532
2021-01-27,2142.625,2210.339022373133,2124.1889464877336,2209.4074514908903,290741
2021-01-28,2101.6826171875,2157.4327361590604,2081.0401000408788,2113.3034301921707,185270
2021-01-29,2075.352294921875,2122.423555073011,2060.3482828653387,2118.2067068011097,143246
2021-02-01,2037.891357421875,2098.593571022585,2030.928638125128,2078.9805469943367,127319
2021-02-02,2058.779052734375,2101.4864607764575,2039.7545150434776,2054.4642831808105,249607
2021-02-03,2090.846435546875,2113.3032513607454,2062.7997165834468,2075.744264021649,141163
2021-02-04,2095.5048828125,2143.60563884419,2040.6863300106809,2088.787325459198,293240
2021-02-05,2249.319580078125,2267.265544686293,2085.8450750639036,2111.04776269025,389302
2021-02-08,2277.611572265625,2293.105909652006,2214.310487203785,2269.2269563284144,180259
2021-02-09,2224.411376953125,2299.823365657351,2208.4267129855407,2267.265790596168,287768
2021-02-10,2253.4873046875,2280.0139666777973,2209.4070825484205,2230.0007570861553,324925
2021-02-11,2239.660400390625,2278.7882885784074,2218.2330753154847,2255.4978219388217,53077
2021-02-12,2145.6650390625,2241.4746229508023,2137.3785834814776,2241.4746229508023,151350
2021-02-15,2126.0029296875,2186.852390499332,2119.285611958704,2157.4328516136907,132676
2021-02-16,2163.169677734375,2191.951648566574,2115.509930729521,2136.544852374099,214876
2021-02-17,2313.356201171875,2328.8505381516807,2159.3448809722613,2162.237754154377,469084
2021-02-18,2404.40966796875,2443.782716694524,2255.4976919732767,2326.1045762437443,684961
2021-02-19,2372.244384765625,2439.8111581463745,2329.046650584063,2426.13112149262,346130
2021-02-22,2343.315185546875,2435.888565537278,2304.5303816656938,2371.2146650500626,215914
2021-02-23,2334.9306640625,2381.9037639314715,2305.7562889025426,2338.853269126024,175596
2021-02-24,2329.19384765625,2358.4173043828473,2280.063361002787,2352.533396562062,58313
2021-02-25,2364.938720703125,2373.17609568174,2296.2440507112883,2343.8056377528437,157769
2021-02-26,2355.180908203125,2397.692234383142,2314.3368806315807,2343.609415333409,189954
2021-03-01,2313.06201171875,2419.952995945922,2304.530393888566,2378.079236246712,120452
2021-03-02,2304.38330078125,2344.638840705501,2263.882358642045,2315.3174658124176,107872
2021-03-03,2389.60205078125,2402.595680481815,2310.51261935171,2314.337063647789,152524
2021-03-04,2618.142822265625,2640.893883965627,2359.250885627331,2377.0005300573675,845383
2021-03-05,2500.2685546875,2579.1128204273764,2466.9752527914993,2578.8676576117464,215299
2021-03-08,2514.92919921875,2549.6932379840555,2500.660675715131,2520.2246201770704,166349
2021-03-09,2456.58056640625,2525.1770763842765,2451.6282294992975,2512.624691965876,134636
2021-03-10,2442.7041015625,2509.2904650522632,2427.1609229083306,2460.453984944808,96338
2021-03-12,2425.150390625,2464.7197618715877,2413.431656798707,2464.7197618715877,177470
2021-03-15,2492.71728515625,2500.6606559477477,2367.3902485210197,2408.528520056093,153220
2021-03-16,2664.429443359375,2729.9860751174765,2483.2050446726225,2495.757428542366,800623
2021-03-17,2483.8916015625,2627.3609357656037,2463.5430869272673,2618.3880720666757,423662
2021-03-18,2419.36474609375,2521.1073112396416,2383.0315701269647,2505.563893472319,204798
2021-03-19,2504.926513671875,2515.3703532901613,2369.2533230210643,2402.5954641562944,232581
2021-03-22,2438.879638671875,2507.0348999857856,2425.6899273513213,2507.0348999857856,125514
2021-03-23,2445.40087890625,2470.6526484399974,2432.015085191977,2440.840946388238,81879
2021-03-24,2439.713134765625,2461.4344626433503,2413.3334743645114,2422.2084154299105,114839
2021-03-25,2403.183837890625,2456.7763282281585,2319.240002498591,2440.840746815642,166985
2021-03-26,2365.968017578125,2435.398170294268,2358.564292565128,2427.1117155528104,54723
2021-03-30,2449.078369140625,2466.239766247968,2378.0793134461132,2378.0793134461132,183863
2021-03-31,2430.34814453125,2463.396045183993,2404.262724400711,2445.744321930286,92845
2021-04-01,2420.149169921875,2459.2772991876586,2393.769746564234,2450.8436025112846,168497
2021-04-05,2453.09912109375,2499.2878910973386,2353.5630184389365,2422.208606476739,135477
2021-04-06,2430.249755859375,2466.3377679012897,2422.208463903056,2452.6086511018393,62286
2021-04-07,2455.648681640625,2476.0460343690756,2437.1142309449,2451.5788356498397,127266
2021-04-08,2462.169921875,2496.149389104588,2450.206025499919,2465.357038173355,71530
2021-04-09,2481.587158203125,2521.254454815003,2446.921039496798,2471.2412392585798,202465
2021-04-12,2532.1396484375,2603.6290276677573,2398.8199215701834,2469.2798085376317,677157
2021-04-13,2483.8427734375,2657.5650577364577,2472.2219596138784,2613.2396662804545,633131
2021-04-15,2432.8486328125,2494.7766605173497,2425.1504251019674,2494.7766605173497,235371
2021-04-16,2576.366943359375,2608.5323525828567,2416.3247055504357,2440.840987059673,403929
2021-04-19,2706.744384765625,2749.7460367779645,2510.9083828827374,2550.6738379670064,832665
2021-04-20,2592.106201171875,2817.410807137727,2569.3060615039485,2770.339551049105,669317
2021-04-22,2609.07177734375,2666.341715592731,2556.606934538266,2566.2173648420726,616141
2021-04-23,2606.816162109375,2686.935320637877,2591.2727441685024,2647.758351432451,325225
2021-04-26,2600.00048828125,2646.7775010877344,2593.82233804263,2622.2612219001862,202832
2021-04-27,2598.77490234375,2621.1337988079677,2586.1243575229164,2613.3374298088265,185405
2021-04-28,2617.946533203125,2633.0484658813125,2554.59637006362,2611.474139531447,215493
2021-04-29,2599.755615234375,2630.9403737198627,2594.01870949839,2627.1156900902674,103622
2021-04-30,2727.73046875,2763.769401347598,2578.1320761655893,2599.706403162791,512911
2021-05-03,2690.61279296875,2781.1269514365963,2667.371406173322,2750.8737645373553,148728
2021-05-04,2597.205810546875,2724.249230576073,2581.3683882884734,2711.5007640542985,181889
2021-05-05,2558.813232421875,2632.6072354635044,2544.789872332598,2627.949142248252,372851
2021-05-06,2583.280517578125,2666.8319549743146,2565.5797148908214,2598.725774540014,288778
2021-05-07,2595.832763671875,2635.9903817606514,2589.2133681819623,2633.048428209579,247203
2021-05-10,2736.06591796875,2810.448167553911,2590.046811197684,2623.24194995732,843513
2021-05-11,2811.870361328125,2829.1787595322,2704.4399726798592,2734.0555915340633,336850
2021-05-12,2805.0546875,2925.2826242779443,2778.184939517069,2838.9853158848973,359962
2021-05-14,2809.76171875,2871.3466608622343,2696.790750468287,2819.3721482168457,225403
2021-05-17,2739.15478515625,2892.920935653316,2716.4037260202326,2890.9596333240597,185252
2021-05-18,3003.29345703125,3075.7634867926113,2804.858585884184,2853.6950647729373,1563292
2021-05-19,3276.796875,3446.841935206654,2954.800200014828,2990.986133203922,1570144
2021-05-20,3098.17138671875,3393.9356452440757,3071.644723852484,3239.09091639708,1014564
2021-05-21,3107.8798828125,3233.2071600101776,3085.177902220644,3128.277476624952,400361
2021-05-24,3074.43994140625,3167.503652647654,3041.980288084527,3145.929324363366,287502
2021-05-25,3211.28955078125,3226.342643379548,3054.728672987019,3089.051467065525,551124
2021-05-26,3195.550048828125,3297.9299368273228,3177.3098410111584,3239.0908656974866,283373
2021-05-27,3219.183837890625,3234.8742580241687,3129.601489090761,3196.923102209522,254290
2021-05-28,3161.962890625,3234.9723268476446,3089.0513758753164,3224.3812456755686,522591
2021-05-31,3092.826904296875,3149.606513403214,3075.3221844889795,3138.0838617234485,296581
2021-06-01,3020.65087890625,3136.2695603891198,2972.353806984772,3093.9545565941785,374190
2021-06-02,3098.9560546875,3112.341848240505,3018.4444927559744,3020.1606324123495,193259
2021-06-03,3119.01025390625,3139.5057684289077,3107.6836845471817,3126.8554635863943,124328
2021-06-04,3073.5078125,3134.6515095877867,3052.620133814689,3134.6515095877867,134920
2021-06-07,3058.259033203125,3128.2774355230313,3052.7672905276477,3071.399663968067,120754
2021-06-08,3066.006103515625,3121.51105949632,3020.6019031957458,3059.5827900067948,175524
2021-06-09,3045.020263671875,3101.7998747492825,3031.536309110445,3086.1094548959823,107431
2021-06-10,3093.218994140625,3103.7609943584303,3034.8211683065415,3056.8367394826923,133571
2021-06-11,3087.041015625,3103.6630062195263,3053.0615460077215,3103.6630062195263,110521
2021-06-14,3098.0732421875,3128.032184414891,3053.06144759772,3087.0409161197304,220080
2021-06-15,3085.570068359375,3100.7210822427505,3070.811219208091,3089.0514281697215,101956
2021-06-16,3081.010009765625,3103.368905166623,3063.554370399197,3089.05130177896,159991
2021-06-17,3039.08740234375,3175.692173763788,3015.5026911362156,3089.002456814042,551490
2021-06-18,3014.08056640625,3107.4875939116773,2963.429787893648,3052.767208655059,303950
2021-06-21,3009.422607421875,3027.2704123094986,2955.2416257956684,2990.9863160168356,63730
2021-06-22,3121.559814453125,3138.083883167147,3006.872702918861,3029.2315984697866,501290
2021-06-23,3121.952392578125,3157.5010010482874,3089.149655542124,3127.2968941061386,150624
2021-06-24,3092.875732421875,3123.128917791821,3066.2020675918543,3118.4708245790066,124243
2021-06-25,3128.62060546875,3157.696817352499,3061.151756022083,3089.051234366575,129711
2021-06-28,3189.568115234375,3213.5940702914822,3109.8902030551917,3142.692938708984,149743
2021-06-29,3332.350830078125,3409.724111474286,3162.600017113768,3189.5679242364436,893668
2021-06-30,3358.0439453125,3486.2150090122345,3335.53804820097,3363.6336092579363,456848
2021-07-01,3301.999755859375,3366.575736344504,3285.72108878318,3366.575736344504,83354
2021-07-02,3395.60302734375,3422.276692779541,3275.3750913958515,3324.3094917550743,282729
2021-07-05,3421.001953125,3479.3507036512824,3373.4894470083896,3427.081943111603,207082
2021-07-06,3336.175537109375,3467.58280400316,3310.188279104261,3441.105220375308,122449
2021-07-07,3432.475341796875,3491.118332455756,3346.423197506708,3358.6322572747736,257534
2021-07-08,3471.3583984375,3528.481333344508,3414.1373026394654,3437.1826068508763,152828
2021-07-09,3565.1083984375,3606.884235807947,3481.311800310568,3488.666684395731,341182
2021-07-12,3529.658203125,3618.603226416703,3493.079862465121,3597.224980610336,210900
2021-07-13,3612.523193359375,3633.2638719362126,3530.344569117119,3530.344569117119,274013
2021-07-14,3756.727783203125,3794.1395310940006,3580.357567336313,3617.622313312424,470853
2021-07-15,3670.185546875,3832.3851715201026,3649.052464077037,3804.926935900204,197863
2021-07-16,3880.24072265625,3922.5066457982034,3702.056447195939,3716.668054334122,368699
2021-07-19,3783.94091796875,3879.456251653767,3760.797453258897,3801.98480476786,205320
2021-07-20,3721.42431640625,3824.2945319153614,3689.160748152026,3824.2945319153614,155329
2021-07-22,4066.466552734375,4087.3542319158614,3787.520125291995,3883.378780802978,1960695
2021-07-23,3939.12890625,4091.276845621879,3865.6289065719393,4069.702519015052,727749
2021-07-26,3941.482421875,4001.056983579026,3886.5659534729352,3934.372700519376,202117
2021-07-27,3790.118896484375,3999.0957723097563,3759.8659492625234,3991.2505623591733,423372
2021-07-28,3834.3955078125,3862.6383119895054,3704.9004610202637,3844.152939968087,523764
2021-07-29,3921.91845703125,3991.250450136752,3801.0041141842876,3839.2495116180303,180714
2021-07-30,3854.400390625,3971.6372873230425,3726.719654604788,3944.1790542255003,178028
2021-08-02,3872.395751953125,3933.3922125769395,3804.9268972322425,3882.3001860509876,229022
2021-08-03,3875.729736328125,3911.9159102999024,3846.261119036446,3873.572351509379,136482
2021-08-04,3867.149169921875,3932.411559268915,3839.641854148864,3901.0307188956967,208411
2021-08-05,3974.1875,4012.82506492685,3824.3930159658903,3862.736337623385,411480
2021-08-06,3913.043701171875,3990.2699881131152,3885.340302999303,3984.38608053664,184300
2021-08-09,3969.23486328125,3984.3858766319445,3919.9571398501016,3931.4307111536955,132206
2021-08-10,4119.07861328125,4162.668274462399,3962.762658879246,3962.8117393255793,514610
2021-08-11,4069.849609375,4185.419452681196,4040.2830705357383,4185.419452681196,372792
2021-08-12,4232.73583984375,4265.832818608818,4012.9718050769748,4074.5076692994353,446729
2021-08-13,4204.248046875,4246.2197270080605,4151.439883602649,4218.761493207547,274211
2021-08-16,4037.389892578125,4216.800223868967,4016.7473760389043,4169.728965556011,191993
2021-08-17,4033.71240234375,4112.851145970614,3971.637372718404,4039.302305735088,202098
2021-08-18,3992.574462890625,4079.5090982684956,3981.4439757139644,4069.7025860130425,78073
2021-08-20,3882.496337890625,3978.796239737397,3853.9592916437937,3976.540694049767,119703
2021-08-23,3796.34619140625,4008.902352074588,3726.4747891104294,4008.902352074588,310148
2021-08-24,3739.517333984375,3843.5154434393435,3689.2098786646784,3795.1202101095973,272244
2021-08-25,3771.78076171875,3808.310020508641,3737.261885859718,3755.894259470669,472921
2021-08-26,3801.4453125,3844.496044012899,3766.681275195729,3783.940832155743,454556
2021-08-27,3854.20458984375,3868.669195835785,3795.2185127005823,3844.152914493353,116858
2021-08-30,3805.8583984375,3837.2883186986514,3795.1203151964687,3795.1203151964687,328430
2021-08-31,3818.557861328125,3873.572493008207,3804.9269045245173,3828.315532938899,88600
2021-09-01,3825.226318359375,3865.7272632422055,3788.5009765906775,3824.5399103613904,205342
2021-09-02,3826.059814453125,3863.7658059706714,3802.033859568282,3863.618804054424,111814
2021-09-03,3911.817626953125,3945.159767669196,3797.866005683325,3843.1720431259205,681341
2021-09-06,3912.455078125,3971.6374755333104,3875.4354942481154,3966.734219390677,259485
2021-09-07,3909.56201171875,3942.217743898582,3859.8430447723426,3942.217743898582,145359
2021-09-08,3873.08203125,3930.4501281807825,3861.853622554601,3909.5622091072396,103435
2021-09-09,3803.40673828125,3877.494987042471,3790.2170270407564,3863.7658697388306,138625
2021-09-13,3736.281005859375,3820.6170075664368,3687.248446727362,3803.406531427742,305920
2021-09-14,3738.5859375,3788.5991519027693,3721.620622770208,3747.06847515649,179020
2021-09-15,3940.55078125,3953.0050036584944,3732.6036455408444,3736.2810875561554,562912
2021-09-16,3965.01806640625,4040.0867261640706,3881.4175494554966,3958.790835359326,225926
2021-09-17,3886.22265625,4098.778809950478,3824.5397897663865,3971.3432307363664,266974
2021-09-20,3824.24560546875,3871.611108401707,3794.1396601839424,3871.611108401707,90582
2021-09-21,3790.070068359375,3860.676958155013,3696.6139566215097,3825.667517097896,102715
2021-09-22,3802.1318359375,3856.901303120257,3788.3047971889064,3824.637973290067,39787
2021-09-23,3829.688232421875,3880.4369337925505,3792.6686483302224,3861.8045603424475,91881
2021-09-24,3769.67236328125,3861.412332629074,3757.8554682183412,3853.9592876038832,63278
2021-09-27,3771.731689453125,3824.539854752781,3748.1472185489292,3824.539854752781,53962
2021-09-28,3606.443115234375,3809.8300877289066,3578.886719476614,3804.9268315027434,219342
2021-09-29,3642.874267578125,3692.348075754879,3534.5613838095583,3606.4431690409187,203786
2021-09-30,3647.92431640625,3687.297605879804,3600.9512195218,3606.491803055271,168438
2021-10-01,3655.4755859375,3691.1221141587857,3632.332121362959,3651.9451457763657,64900
2021-10-04,3803.210693359375,3853.959395320658,3633.3619454998516,3687.248683563785,216740
2021-10-05,3952.56396484375,3971.6375838755434,3777.1743920705717,3808.84947549941,302291
2021-10-06,3821.989990234375,3993.2117899616314,3804.9267546785686,3954.9663921697593,134071
2021-10-07,3807.4765625,3896.9609872641813,3786.5395629665354,3852.9786838188456,121557
2021-10-08,3775.50732421875,3830.0316296547107,3749.618226905117,3829.3449822441326,80001
2021-10-11,3735.888916015625,3848.6638042791237,3712.7945323183053,3814.438933669079,127777
2021-10-12,3715.834716796875,3775.5074431917096,3706.861853315497,3764.4751162473185,71424
2021-10-13,3706.27294921875,3738.095271331051,3664.6934352306416,3726.376298274738,122941
2021-10-14,3707.351806640625,3745.9893675811268,3692.151713265958,3728.386726685435,93229
2021-10-18,3676.65771484375,3746.038792597122,3661.4576200709266,3736.1831993933156,86911
2021-10-19,3664.988037109375,3735.055522426504,3631.4498115783667,3637.431640671777,76696
2021-10-20,3474.545654296875,3664.693842179776,3443.4099760819413,3664.693842179776,201532
2021-10-21,3551.86962890625,3648.0225286537225,3270.9130551268704,3510.731358220518,487252
2021-10-22,3622.4765625,3652.9258310691857,3511.368730278347,3539.0721275206834,192338
2021-10-25,3654.298828125,3679.4035966191923,3248.0640360409116,3608.796704573195,997538
2021-10-26,3491.41259765625,3706.8616234984474,3444.537421306428,3682.3453429197543,372705
2021-10-27,3453.804443359375,3543.2888652920824,3420.5113830277705,3520.5378053525505,186998
2021-10-28,3523.871826171875,3574.42444197863,3398.495717464892,3461.6986376254317,141206
2021-10-29,3628.605712890625,3676.46154184684,3484.204816108297,3530.1975034533993,254944
2021-11-01,3610.41455078125,3652.9258779056127,3573.002801650765,3628.4095968458437,227937
2021-11-02,3626.8896484375,3637.23556723873,3580.3577934722575,3580.3577934722575,47493
2021-11-03,3628.164306640625,3646.453355902312,3598.0583624396904,3628.4094694426144,92491
2021-11-04,3604.923095703125,3657.82918305456,3579.3770826137115,3652.925926777007,9741
2021-11-08,3586.24169921875,3618.6031911723235,3540.0529285728326,3569.325464788473,118570
2021-11-09,3554.125244140625,3647.924439151871,3521.5676709698455,3647.924439151871,194358
2021-11-10,3531.66845703125,3544.51484469097,3495.0901177085207,3529.363830838722,95213
2021-11-11,3482.439453125,3528.383058139591,3461.6987757734173,3516.615243604384,129447
2021-11-12,3383.001708984375,3513.6734903372753,3358.7305901214536,3483.273301054424,145918
2021-11-15,3557.557373046875,3608.796397991179,3383.001460317954,3392.9061331552457,406972
2021-11-16,3434.6328125,3545.299400871194,3424.777459056264,3541.131633094774,115986
2021-11-17,3423.649658203125,3476.359663846499,3408.7438068161755,3434.63290451894,57343
