Date,Close,High,Low,Open,Volume
2020-01-01,511.3088073730469,518.8862873704511,509.4022036964696,518.8374123380208,45551
2020-01-02,517.0775146484375,522.943951693184,509.7444683425044,511.3577624004031,74931
2020-01-03,514.1442260742188,520.1573470963932,511.4065677616381,517.1263789068353,196706
2020-01-06,503.5846252441406,513.3131434214221,498.84261340883637,513.3131434214221,105233
2020-01-07,506.3223876953125,511.11333522463553,503.04698416657095,507.93568177751916,91187
2020-01-08,500.11370849609375,512.2377010574993,495.7138811486208,502.16693738765673,118575
2020-01-09,510.42889404296875,515.3664665827037,503.4869674635176,503.4869674635176,692636
2020-01-10,528.6146850585938,551.444869897415,509.40208726339216,518.2017394426063,451021
2020-01-13,529.6903076171875,536.7789181021429,525.0949206088868,536.4856082242675,359470
2020-01-14,527.490478515625,531.8903064179797,521.3307313876256,530.5703819178673,437981
2020-01-15,542.30322265625,560.2447181180595,523.6283629130925,524.0683576113087,589298
2020-01-16,536.5346069335938,546.3120029597185,525.1928514138848,545.4809481680936,327925
2020-01-17,531.69482421875,549.2941383981779,528.174985253462,534.8236031192804,340724
2020-01-20,531.3037109375,539.9078072947839,527.9793724993165,536.7790287076384,284850
2020-01-21,537.5120849609375,540.3964273203037,525.0459110941764,527.9791284745908,384251
2020-01-22,535.9967041015625,545.5785374476061,530.814697670419,539.7121015610727,105884
2020-01-23,541.3743896484375,552.4228344011638,534.8723979039182,538.7344809823738,297620
2020-01-24,552.4716796875,557.3603770737737,541.3743604912513,544.5520137923293,230561
2020-01-27,553.4004516601562,570.9997593101259,543.1341888643406,552.422712346269,449617
2020-01-28,540.6410522460938,552.3739258942167,537.8055839105382,549.4407074821859,165932
2020-01-29,541.1786499023438,546.7029002805147,530.130208822467,544.258552268309,253562
2020-01-30,542.30322265625,547.534104967039,518.4463556406649,547.534104967039,554123
2020-01-31,533.4057006835938,550.4672646034908,529.054748557383,545.6763178260497,168229
2020-02-03,513.0198974609375,522.112862341705,488.9185963305647,508.81562979310735,447212
2020-02-04,528.2725219726562,531.8901692502775,513.3619979265777,517.1752049958349,206308
2020-02-05,525.7793579101562,546.5563199847091,520.9395359857298,528.7614511196791,369493
2020-02-06,525.926025390625,536.7789084114135,516.6863765072648,527.8815041097922,153704
2020-02-07,521.819580078125,527.7837671231609,514.2909740362146,525.9260978897563,123937
2020-02-10,513.2642822265625,525.0460294245371,507.15341130681696,525.0460294245371,165790
2020-02-11,507.9356689453125,521.0862771218303,503.7314010414082,514.3887257581439,125932
2020-02-12,509.1089172363281,514.2420490835154,505.00239982328293,508.4244877214078,122854
2020-02-13,505.78460693359375,512.0421633013073,499.67373535437366,507.9356456647753,185290
2020-02-14,495.81170654296875,511.3577586292498,494.7361871250486,506.90905583842203,107214
2020-02-17,491.2162780761719,500.3581476103199,481.9766584707274,497.03383955378587,259122
2020-02-18,499.1848449707031,508.2289345336852,487.89196669492384,488.7719261982689,772348
2020-02-19,498.8426208496094,507.15340520039666,494.9316635080624,507.15340520039666,584140
2020-02-20,506.4201354980469,512.3354469483189,498.20710064584176,498.74487522020013,161880
2020-02-24,506.61566162109375,519.1795882379964,500.8958506905539,505.3934874491587,195129
2020-02-25,508.473388671875,514.0465154681668,507.44677418540863,509.40225308400363,101573
2020-02-26,501.9714050292969,507.2511617015135,495.3716345934338,507.2511617015135,135537
2020-02-27,503.2424621582031,507.93559916611775,496.74047152254167,500.6025539423528,92894
2020-02-28,498.5982360839844,510.33110928681657,476.7457537760616,488.8697167846736,785992
2020-03-02,504.5135803222656,510.38001730275704,500.65149737481215,500.89593224899926,200561
2020-03-03,505.1001281738281,513.0198527748344,495.4205443412309,512.3354232893437,222850
2020-03-04,494.63836669921875,507.93562878125556,481.6833193818913,503.5358013904651,573290
2020-03-05,485.0565185546875,500.6025689267575,482.02552047049113,494.9316923859294,225225
2020-03-06,488.576416015625,500.60259933785954,465.5017589847475,470.2926763310751,377391
2020-03-09,481.9767150878906,484.909933689083,469.95050092005636,481.04785059554933,348147
2020-03-11,474.3014221191406,481.9766829142248,465.4039869884775,475.4746915783521,197946
2020-03-12,442.81817626953125,469.31492045450636,417.2014214309995,459.5375262783708,178107
2020-03-13,446.2402648925781,450.7378721879145,354.28388446502487,413.5837742635311,285879
2020-03-16,433.9696044921875,439.98269536114253,402.388606455546,422.38338754669684,630657
2020-03-17,428.1032409667969,439.7872099503197,416.56589710064566,425.4633324128006,648219
2020-03-18,425.3166198730469,446.82688570570673,416.663620604534,446.82688570570673,1407905
2020-03-19,435.2895812988281,442.1337569177516,371.589837203543,408.6950583871447,1688232
2020-03-20,421.259033203125,442.6715204383481,402.6330794319308,428.2498640574191,261503
2020-03-23,398.0377197265625,405.4685452092379,357.8037489779751,399.89541863767164,228260
2020-03-24,400.7754211425781,439.885001733964,371.8343255373042,371.8343255373042,520591
2020-03-25,391.7312927246094,400.8731622708735,366.79893751020137,387.966989989296,341097
2020-03-26,377.3096618652344,398.62440057345725,373.00761409236776,391.1935745085561,199372
2020-03-27,356.6304931640625,391.0958115575737,352.9639699307103,383.3716752469601,368878
2020-03-30,332.9202880859375,356.63047013023703,329.7426348222685,356.63047013023703,198026
2020-03-31,324.36505126953125,341.37771114088827,316.39648099649577,341.37771114088827,443679
