Date,Close,High,Low,Open,Volume
2020-01-01,2636.314453125,2672.844996555014,2629.6192640925333,2663.8483362926368,320021
2020-01-02,2611.96044921875,2655.060725775868,2604.4702478463128,2640.373114939303,452413
2020-01-03,2570.99462890625,2618.028293824177,2565.0944523523067,2615.726822455835,424311
2020-01-06,2542.205078125,2570.617950477466,2534.170973754431,2569.278830921892,355754
2020-01-07,2542.4560546875,2570.952492810872,2535.8865232863945,2548.7746799659867,225535
2020-01-08,2560.281982421875,2572.124015607699,2510.695741526722,2510.695741526722,393614
2020-01-09,2582.41796875,2602.7546455909937,2565.972992990963,2574.3000931954653,333029
2020-01-10,2595.389892578125,2608.6129312974635,2582.459850096615,2592.7118579273474,455081
2020-01-13,2589.40625,2611.0818428135995,2577.815122232759,2599.4071477758353,154993
2020-01-14,2595.724609375,2609.449663787136,2572.626127800403,2586.937174650893,278534
2020-01-15,2614.0947265625,2626.1878707628484,2587.6905342252157,2595.2226218086657,553613
2020-01-16,2604.51220703125,2636.230582148403,2595.6410001692925,2619.325271342942,287553
2020-01-17,2609.533447265625,2626.1876466617155,2592.7117047029938,2604.428284388546,272072
2020-01-20,2597.48193359375,2631.7528876240613,2580.2836278923983,2619.492405855379,365554
2020-01-21,2591.916748046875,2610.286630730147,2582.250528732885,2591.0379636872503,215722
2020-01-22,2574.634765625,2602.7546402512703,2569.3624679134027,2598.570147260513,269339
2020-01-23,2565.26123046875,2585.9744682560035,2553.461084261292,2570.952181108826,256329
2020-01-24,2572.751953125,2588.485688914698,2564.2575133909445,2567.605108055946,209961
2020-01-27,2579.823486328125,2613.5922193689935,2547.5610071821898,2569.111144296458,308445
2020-01-28,2561.6630859375,2602.42021507931,2550.8671747020885,2585.8495803637056,239986
2020-01-29,2587.565185546875,2593.5489291956283,2560.9098816839696,2576.810956112726,243945
2020-01-30,2632.464599609375,2665.522094978814,2545.092465728403,2601.4993507823056,2400831
2020-01-31,2661.379150390625,2711.509289464014,2636.2303092744723,2636.2303092744723,1141144
2020-02-03,2748.79345703125,2774.4443174426206,2607.0229156446667,2630.372304901574,921166
2020-02-04,2646.943115234375,2772.645252747064,2637.0676702100814,2736.6586104687294,1546450
2020-02-05,2645.85498046875,2695.566676643214,2636.2306463629807,2665.522097989236,646723
2020-02-06,2636.063232421875,2687.281385513915,2629.033161639237,2652.9685431576177,514236
